phi,sigma,total_time,max_ac225_yield,time_to_peak
406240909552886.25,1e-24,271.0339152722127,4.1006227196745155e+19,271.0339152722127
184431567991581.75,1e-24,151.19625094940625,6.966664441724411e+18,151.19625094940625
294975757191744.75,1e-24,109.17825063160198,6.205607866772004e+18,109.17825063160198
245242795314133.56,1e-24,431.7523434796881,4.9484966686065934e+19,431.7523434796881
18374083031747.5,1e-24,311.0460728655407,2.3000524525564047e+18,311.0460728655407
15494996998883.117,1e-24,365.6006578529992,2.470579727251503e+18,365.6006578529992
14756604499356.686,1e-24,468.61051312330676,3.3260363541029166e+18,468.61051312330676
18828505956270.355,1e-24,479.8513204954494,4.3785370342050386e+18,479.8513204954494
399731480577820.8,1e-24,300.9041821885135,4.753956019601644e+19,300.9041821885135
367492270753944.3,1e-24,399.6062711017121,6.656939587209419e+19,399.6062711017121
779927305932698.4,1e-24,134.15784338120173,2.381895750178261e+19,134.15784338120173
151409034726183.44,1e-24,56.5741068065566,9.297361231666266e+17,56.5741068065566
170738475775215.56,1e-24,93.93273900546652,2.723674061307848e+18,93.93273900546652
134865610588890.77,1e-24,290.49095187658634,1.5186378524642621e+19,290.49095187658634
85500825136572.66,1e-24,266.08957000143016,8.382068041763735e+18,266.08957000143016
337168333990856.4,1e-24,401.62991109091263,6.151480418233086e+19,401.62991109091263
96450932574586.1,1e-24,303.80078634608003,1.1643322577735545e+19,303.80078634608003
728571991064328.5,1e-24,68.66945836555018,6.46515892548315e+18,68.66945836555018
17147749548676.664,1e-24,52.97741583627652,9.286647006271056e+16,52.97741583627652
206883840699819.06,1e-24,215.11806738728595,1.4328168035303817e+19,215.11806738728595
353706330144584.4,1e-24,338.9033925212104,5.041125779970886e+19,338.9033925212104
46481005746213.016,1e-24,450.19960820715255,9.929552541025833e+18,450.19960820715255
335015032027185.4,1e-24,142.5621210459861,1.1403204343307487e+19,142.5621210459861
53503727009940.15,1e-24,164.0755903000888,2.3327865479840184e+18,164.0755903000888
20664423666200.92,1e-24,82.4138525456739,2.584316279150766e+17,82.4138525456739
745169252854602.0,1e-24,224.5729782273891,5.542537216898967e+19,224.5729782273891
58430505771127.67,1e-24,367.5459972519152,9.3885335058748e+18,367.5459972519152
127639804550739.02,1e-24,468.7085935508465,2.877491588988229e+19,468.7085935508465
363582513632701.0,1e-24,244.89108642102477,3.117740720155845e+19,244.89108642102477
56587296665635.82,1e-24,493.4494570129178,1.3646898568969445e+19,493.4494570129178
272596623396506.88,1e-24,476.08538340188215,6.272810580998363e+19,476.08538340188215
17256676368825.63,1e-24,426.7615028034835,3.4272715475196805e+18,426.7615028034835
187995636005154.53,1e-24,69.74162238420516,1.7178698348670316e+18,69.74162238420516
150146772063743.34,1e-24,346.1872189016699,2.209046104077428e+19,346.1872189016699
10582916554900.346,1e-24,232.61580130245582,8.343871792966874e+17,232.61580130245582
447506164699346.94,1e-24,154.72592241860403,1.7604297159207385e+19,154.72592241860403
82622087517018.56,1e-24,226.73392226326766,6.244740102180573e+18,226.73392226326766
40165648460017.62,1e-24,460.03652880262155,8.833117701374655e+18,460.03652880262155
365248188665011.5,1e-24,64.18832138809415,2.8522813421497185e+18,64.18832138809415
986436913568347.5,1e-24,440.8080119107952,2.0467400957809738e+20,440.8080119107952
36967227119138.57,1e-24,420.07932403385973,7.183279129379764e+18,420.07932403385973
16324469008829.082,1e-24,499.56131793237694,4.0000674020723927e+18,499.56131793237694
214471442215302.44,1e-24,328.56125762381055,2.9178466987383902e+19,328.56125762381055
15166363263745.04,1e-24,449.54636545934636,3.233653629305753e+18,449.54636545934636
11428757200837.443,1e-24,128.00574844016205,3.2087859472209466e+17,128.00574844016205
19321629511162.312,1e-24,390.6162909391871,3.389387274326549e+18,390.6162909391871
24911991923532.156,1e-24,456.2127312941338,5.41775149381327e+18,456.2127312941338
