time_h,N_Ra226,N_Ac225
189.20000000000002,6.021533540148159e+23,3.1536240949135856e+19
189.60000000000002,6.0215325540133864e+23,3.1586196030232064e+19
190.0,6.021531567878775e+23,3.1636092955221475e+19
190.4,6.021530581744326e+23,3.1685931791790817e+19
190.8,6.021529595610038e+23,3.173571260754801e+19
191.20000000000002,6.0215286094759114e+23,3.178543547002227e+19
191.60000000000002,6.0215276233419465e+23,3.18351004466642e+19
192.0,6.021526637208143e+23,3.188470760484586e+19
192.4,6.021525651074501e+23,3.19342570118609e+19
192.8,6.021524664941021e+23,3.1983748734924616e+19
193.20000000000002,6.021523678807702e+23,3.2033182841174036e+19
193.60000000000002,6.0215226926745446e+23,3.208255939766804e+19
194.0,6.021521706541549e+23,3.213187847138743e+19
194.4,6.021520720408714e+23,3.218114012923503e+19
194.8,6.021519734276041e+23,3.2230344438035763e+19
195.20000000000002,6.0215187481435295e+23,3.227949146453675e+19
195.60000000000002,6.02151776201118e+23,3.23285812754074e+19
196.0,6.021516775878991e+23,3.2377613937239503e+19
196.4,6.0215157897469645e+23,3.2426589516547314e+19
196.8,6.021514803615099e+23,3.247550807976764e+19
